Order,Family,Tribe,Species,Mass.in.kg,Act,SS,TR,HI,AncientEco_TaxonID
Artiodactyla,Bovidae,Aepycerotini,Aepyceros melampus,52.5,D,T,MF,4.89,14200488
Artiodactyla,Bovidae,Antilopini,Gazella granti,55,CA,T,MF-B,3.45,14201855
Artiodactyla,Bovidae,Bovini,Syncerus caffer,611.75,CA,T,MF-FG,3,14200707
Artiodactyla,Bovidae,Reduncini,Kobus ellipsiprymnus,211,D,T,FG,3.47,14200961
Artiodactyla,Bovidae,Reduncini,Kobus kob,68,CA,T,FG,3.72,14200975
Artiodactyla,Bovidae,Reduncini,Kobus leche,91,D,T,MF-G,3.63,14200984
Artiodactyla,Bovidae,Tragelaphini,Tragelaphus scriptus,51.25,CA,T,B,2.54,14200731
Artiodactyla,Hippopotimidae,,Hippopotamus amphibius,1417.5,N,AQ,FG,1.91,14200106
Artiodactyla,Suidae,,Potamochoerus porcus,70,N,T,OM,1.34,14200035
Carnivora,Canidae,,Canis mesomelas,7.8,D,T,C,NA,14201126
Carnivora,Herpestidae,,Galerella flavescens,1.65,D*,T,CI,NA,14201870
Carnivora,Hyaenidae,,Crocuta crocuta,69.7,CA,T,CB,NA,14201195
Carnivora,Hyaenidae,,Proteles cristata,8.82,N,F,I,NA,14201198
Carnivora,Herpestidae,,Bdeogale crassicauda,1.749,N,T,CI,NA,14201173
Carnivora,Viverridae,,Helogale parvula,0.267,D,F,CI,NA,14201887
Perissodactyla,Equidae,,Equus grevyi,400,CA,T,G,5.8,14201843
Perissodactyla,Rhinocerotidae,,Ceratotherium simum,1875,CA,T,G,3.9,14201361
Perissodactyla,Rhinocerotidae,,Diceros bicornis,1179,N,T,B,2.24,14201363
Primates,Cercopithecidae,Cercopithecini,Cercopithecus erythrotis,4.25,D,A,FL,NA,12100466
Primates,Cercopithecidae,Colobini,Procolobus verus,3.94,D,TA,FL,NA,12100680
Primates,Cercopithecidae,Papionini,Lophocebus_albigena,7.7,D,A,FL,NA,12100522
Artiodactyla,Bovidae,Alcelaphini,Alcelaphus buselaphus,134,CA,T,G,5.23,14200497
Artiodactyla,Bovidae,Alcelaphini,Connochaetes gnou,145.5,CA,T,MF-G,4.75,14200509
Artiodactyla,Bovidae,Alcelaphini,Connochaetes taurinus,181.5,CA,T,G,4.94,14200510
Artiodactyla,Bovidae,Alcelaphini,Damaliscus hunteri,120,D,T,G,4.14,14201853
Artiodactyla,Bovidae,Alcelaphini,Damaliscus lunatus,119,CA,T,G,5.1,14200521
Artiodactyla,Bovidae,Alcelaphini,Damaliscus pygargus,58.5,D,T,G,4.76,14200522
Artiodactyla,Bovidae,Alcelaphini,Alcelaphus lichtensteinii,171.65,CA,T,G,NA,14200505
Artiodactyla,Bovidae,Antilopini,Antidorcas marsupialis,28.65,CA,T,MF-B,4.89,14200530
Artiodactyla,Bovidae,Antilopini,Gazella cuvieri,22.5,CR,T,MF,NA,14200562
Artiodactyla,Bovidae,Antilopini,Gazella dama,55,D,T,MF,NA,14201854
Artiodactyla,Bovidae,Antilopini,Gazella dorcas,23,CA,T,B,3.62,14200563
Artiodactyla,Bovidae,Antilopini,Gazella leptoceros,25,N,T,B,NA,14200578
Artiodactyla,Bovidae,Antilopini,Gazella rufifrons,27,CA,T,B,NA,14201856
Artiodactyla,Bovidae,Antilopini,Gazella soemmerringii,40,CA,T,MF-B,NA,14201857
Artiodactyla,Bovidae,Antilopini,Gazella spekei,20,,T,MF-B,NA,14200582
Artiodactyla,Bovidae,Antilopini,Gazella thomsonii,20.625,CA,T,MF-G,3.77,14201858
Artiodactyla,Bovidae,Antilopini,Litocranius walleri,39,D,T,B,1.32,14200589
Artiodactyla,Bovidae,Caprini,Addax nasomaculatus,92.5,N,T,MF-G,NA,14200937
Artiodactyla,Bovidae,Caprini,Ammotragus lervia,105,D,T,G,NA,14200754
Artiodactyla,Bovidae,Caprini,Capra nubiana,44.5,D,T,MF-B,NA,14200784
Artiodactyla,Bovidae,Caprini,Capra walie,102.5,N,T,G,NA,14200787
Artiodactyla,Bovidae,Cephalophini,Cephalophus callipygus,20.1,D,T,FB,NA,14200869
Artiodactyla,Bovidae,Cephalophini,Cephalophus dorsalis,21.7,N,T,FB,1.15,14200870
Artiodactyla,Bovidae,Cephalophini,Cephalophus jentinki,60,N,T,FB,NA,14200873
Artiodactyla,Bovidae,Cephalophini,Cephalophus leucogaster,12.7,D,T,FB,NA,14200874
Artiodactyla,Bovidae,Cephalophini,Cephalophus maxwellii,6,N,T,FB,NA,14201859
Artiodactyla,Bovidae,Cephalophini,Cephalophus monticola,5,D,T,FB,1.9,14201860
